iter	RMSE
0	12.94703569
1	12.83006474
2	12.63295513
3	12.63114181
4	12.50347693
5	12.31038444
6	12.12957651
7	11.97911346
8	11.76383327
9	11.63952301
10	11.5351431
11	11.34321984
12	11.15044409
13	11.01416264
14	10.83242238
15	10.68287162
16	10.44373603
17	10.38018722
18	10.37171875
19	10.21077747
20	10.02845826
21	10.00954097
22	9.992166734
23	9.882932556
24	9.744373034
25	9.523262776
26	9.43581725
27	9.415710065
28	9.343625698
29	9.211897975
30	9.06970248
31	9.00510924
32	8.928325556
33	8.795023056
34	8.688311377
35	8.500127352
36	8.402373259
37	8.2793896
38	8.265182028
39	8.205142904
40	8.064007238
41	8.001874108
42	7.923550958
43	7.765863135
44	7.651122074
45	7.604022515
46	7.510532375
47	7.341608609
48	7.184940332
49	7.03917811
50	6.954323105
51	6.854207357
52	6.752174797
53	6.676480374
54	6.60825903
55	6.500055969
56	6.378847553
57	6.270812172
58	6.15398677
59	6.057052781
60	5.930485319
61	5.874759208
62	5.790119586
63	5.66330512
64	5.565779113
65	5.459109834
66	5.372501439
67	5.267931551
68	5.193431605
69	5.123352461
70	5.034460264
71	4.932223309
72	4.860598796
73	4.765741318
74	4.69547252
75	4.598425982
76	4.509384878
77	4.468710316
78	4.409890291
79	4.353496361
80	4.267284149
81	4.172323983
82	4.101359923
83	4.049832975
84	4.006845639
85	3.970285454
86	3.896557936
87	3.83644961
88	3.781079491
89	3.708116942
90	3.641309538
91	3.608323882
92	3.555066336
93	3.50553531
94	3.464358791
95	3.433725338
96	3.375852083
97	3.340644153
98	3.284029401
99	3.25728135
100	3.232372786
101	3.188594141
102	3.134915622
103	3.107390839
104	3.088547246
105	3.036914075
106	3.012511344
107	2.966009148
108	2.92346586
109	2.886391534
110	2.843759712
111	2.78109175
112	2.77501105
113	2.763204809
114	2.731469206
115	2.702006135
116	2.661068561
117	2.63794934
118	2.606882697
119	2.592841114
120	2.568037161
121	2.543716293
122	2.532090771
123	2.518748554
124	2.496048371
125	2.459409305
126	2.438145375
127	2.39305632
128	2.384963276
129	2.353708531
130	2.327907282
131	2.299051234
132	2.271835196
133	2.246455624
134	2.207517449
135	2.195289745
136	2.184007106
137	2.173547852
138	2.142113728
139	2.118000498
140	2.081260435
141	2.05220406
142	2.026658418
143	2.000305291
144	1.976601116
145	1.945997133
146	1.922594547
147	1.901301356
148	1.892897511
149	1.873218342
150	1.864774509
151	1.842404139
152	1.834710506
153	1.821736215
154	1.809587468
155	1.789108512
156	1.769760828
157	1.749553861
158	1.730748384
159	1.727216643
160	1.709695754
161	1.695391161
162	1.679417419
163	1.666562394
164	1.637616185
165	1.614348722
166	1.588802873
167	1.565144484
168	1.548459116
169	1.533805448
170	1.518262937
171	1.495207042
172	1.481830929
173	1.464284621
174	1.440916759
175	1.424513713
176	1.411230091
177	1.391997098
178	1.386278228
179	1.380876041
180	1.361034403
181	1.352416894
182	1.332672005
183	1.317099225
184	1.312101762
185	1.293707349
186	1.289205036
187	1.271254775
188	1.253454148
189	1.242599307
190	1.21833957
191	1.202241033
192	1.185267184
193	1.168347914
194	1.158026801
195	1.140291361
196	1.124769452
197	1.111405327
198	1.086308728
199	1.062602701
