iter	Passed	Remaining
0	175	34936
1	206	20471
2	237	15613
3	246	12084
4	270	10564
5	298	9654
6	328	9050
7	361	8667
8	392	8337
9	424	8058
10	456	7836
11	487	7632
12	517	7439
13	544	7228
14	573	7073
15	604	6954
16	634	6830
17	657	6646
18	671	6400
19	701	6312
20	731	6238
21	757	6129
22	769	5918
23	802	5882
24	835	5850
25	872	5836
26	901	5773
27	924	5679
28	958	5650
29	988	5602
30	1019	5559
31	1045	5489
32	1073	5433
33	1104	5392
34	1175	5539
35	1203	5481
36	1231	5424
37	1271	5419
38	1291	5332
39	1319	5277
40	1347	5226
41	1378	5184
42	1410	5148
43	1442	5112
44	1471	5069
45	1502	5030
46	1530	4983
47	1561	4944
48	1590	4902
49	1619	4859
50	1647	4813
51	1677	4773
52	1707	4735
53	1736	4695
54	1768	4662
55	1800	4629
56	1829	4590
57	1865	4567
58	1894	4526
59	1924	4491
60	1954	4453
61	1984	4417
62	2013	4378
63	2046	4348
64	2088	4337
65	2136	4336
66	2168	4304
67	2196	4263
68	2224	4224
69	2253	4185
70	2287	4155
71	2318	4121
72	2349	4087
73	2378	4049
74	2405	4008
75	2438	3979
76	2468	3943
77	2498	3907
78	2526	3869
79	2553	3829
80	2589	3804
81	2618	3767
82	2647	3732
83	2678	3698
84	2707	3663
85	2741	3634
86	2768	3596
87	2797	3560
88	2827	3526
89	2858	3493
90	2885	3455
91	2913	3419
92	2941	3384
93	2971	3350
94	2999	3315
95	3029	3281
96	3058	3247
97	3085	3210
98	3114	3177
99	3143	3143
100	3170	3108
101	3199	3073
102	3229	3041
103	3262	3011
104	3290	2977
105	3317	2942
106	3347	2909
107	3387	2885
108	3417	2853
109	3447	2820
110	3475	2786
111	3505	2754
112	3534	2721
113	3561	2687
114	3591	2654
115	3618	2620
116	3646	2586
117	3676	2554
118	3708	2524
119	3739	2493
120	3766	2458
121	3794	2425
122	3825	2394
123	3856	2363
124	3886	2331
125	3913	2298
126	3941	2265
127	3971	2233
128	3999	2201
129	4026	2168
130	4056	2136
131	4087	2105
132	4114	2072
133	4141	2039
134	4174	2010
135	4205	1979
136	4233	1946
137	4260	1914
138	4289	1882
139	4318	1850
140	4349	1819
141	4377	1788
142	4407	1756
143	4436	1725
144	4468	1695
145	4496	1663
146	4523	1630
147	4552	1599
148	4582	1568
149	4612	1537
150	4641	1506
151	4670	1474
152	4698	1443
153	4726	1411
154	4753	1380
155	4785	1349
156	4813	1318
157	4844	1287
158	4871	1256
159	4902	1225
160	4932	1194
161	4962	1164
162	4992	1133
163	5022	1102
164	5053	1071
165	5083	1041
166	5111	1010
167	5138	978
168	5167	947
169	5195	916
170	5224	885
171	5252	855
172	5281	824
173	5310	793
174	5331	761
175	5359	730
176	5387	700
177	5414	669
178	5443	638
179	5473	608
180	5504	577
181	5536	547
182	5567	517
183	5596	486
184	5626	456
185	5656	425
186	5684	395
187	5713	364
188	5744	334
189	5772	303
190	5801	273
191	5831	242
192	5861	212
193	5889	182
194	5920	151
195	5952	121
196	5984	91
197	6013	60
198	6043	30
199	6072	0
